ID		Name		Korean		English		Math		Science		Average		Division Rank		Overall Rank

1000		Jordan	95			100			100		100			98.75			1				1
1007		Hamilton	90			90			90		25			73.75			2				6
1009		O'Neal	88			52			67		79			71.50			3				7
1001		Drexler	95			98			67		12			68.00			4				8
1006		Barkley	35			88			70		65			64.50			5				9
1005		Nowitzki	15			66			78		90			62.25			6				10
1008		Olajuwon	100			15			17		90			55.50			7				12
1004		Pippen	15			27			88		90			55.00			8				13
1003		Hardaway	90			50			46		18			51.00			9				16
1002		George	50			40			30		80			50.00			10				17
